uuid	obj_name	hist
8af3d589-ea2f-48c8-b71c-be1dbf8ce76d	Torus	"tensor([1.8078e-03, 2.6425e-02, 5.6046e-02, 5.4075e-02, 4.8284e-02, 4.5424e-02,
        4.6207e-02, 4.8677e-02, 4.6613e-02, 4.5540e-02, 4.8734e-02, 5.4962e-02,
        6.3126e-02, 6.4448e-02, 6.1314e-02, 5.8169e-02, 5.3108e-02, 3.9519e-02,
        2.9596e-02, 2.4250e-02, 2.0569e-02, 1.7555e-02, 1.3597e-02, 1.0585e-02,
        8.1484e-03, 6.4886e-03, 4.1988e-03, 1.9587e-03, 5.4792e-04, 2.6370e-05,
        0.0000e+00, 0.0000e+00, 3.4016e-04, 4.9720e-03, 1.0545e-02, 1.0175e-02,
        9.0850e-03, 8.5470e-03, 8.6942e-03, 9.1589e-03, 8.7705e-03, 8.5687e-03,
        9.1697e-03, 1.0341e-02, 1.1878e-02, 1.2126e-02, 1.1537e-02, 1.0945e-02,
        9.9928e-03, 7.4358e-03, 5.5688e-03, 4.5629e-03, 3.8702e-03, 3.3032e-03,
        2.5584e-03, 1.9916e-03, 1.5332e-03, 1.2209e-03, 7.9003e-04, 3.6855e-04,
        1.0310e-04, 4.9618e-06, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 6.2157e-03, 2.6987e-02, 3.1050e-02, 3.3496e-02, 3.4798e-02,
        3.7737e-02, 3.9620e-02, 4.0911e-02, 4.4122e-02, 4.5040e-02, 4.6614e-02,
        4.7869e-02, 4.8603e-02, 5.1213e-02, 5.1347e-02, 5.3182e-02, 5.3413e-02,
        5.3686e-02, 5.3400e-02, 5.2558e-02, 5.3183e-02, 5.1678e-02, 4.3277e-02,
        0.0000e+00, 1.3830e-03, 4.8844e-03, 7.0218e-03, 9.3087e-03, 1.2788e-02,
        1.6121e-02, 1.9504e-02, 2.5633e-02, 2.3701e-02, 2.0594e-02, 1.9981e-02,
        1.9857e-02, 2.7553e-02, 3.0396e-02, 3.2317e-02, 3.4807e-02, 3.7286e-02,
        4.1087e-02, 4.5851e-02, 4.2719e-02, 4.3395e-02, 4.5674e-02, 5.0451e-02,
        5.9108e-02, 5.4007e-02, 5.5707e-02, 5.7905e-02, 5.6106e-02, 5.8569e-02,
        2.7425e-02, 1.8861e-02])"
46aa7a15-7361-43f8-8173-eb1d0bde7f6b	Cylinder	"tensor([1.9229e-03, 3.1821e-02, 4.3808e-02, 5.4590e-02, 4.6801e-02, 4.3350e-02,
        4.5302e-02, 5.7453e-02, 6.6585e-02, 6.7683e-02, 6.8776e-02, 7.1451e-02,
        7.1369e-02, 7.1889e-02, 7.0129e-02, 5.7385e-02, 4.0388e-02, 2.7499e-02,
        1.7871e-02, 1.2450e-02, 8.7334e-03, 6.8359e-03, 5.1408e-03, 3.8730e-03,
        2.9723e-03, 2.2005e-03, 1.2574e-03, 4.3295e-04, 3.0118e-05, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 5.6316e-04, 9.3196e-03, 1.2830e-02, 1.5988e-02,
        1.3707e-02, 1.2696e-02, 1.3268e-02, 1.6827e-02, 1.9501e-02, 1.9823e-02,
        2.0143e-02, 2.0926e-02, 2.0902e-02, 2.1055e-02, 2.0539e-02, 1.6807e-02,
        1.1829e-02, 8.0538e-03, 5.2341e-03, 3.6464e-03, 2.5578e-03, 2.0021e-03,
        1.5056e-03, 1.1343e-03, 8.7052e-04, 6.4448e-04, 3.6828e-04, 1.2680e-04,
        8.8210e-06, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 7.1369e-03, 3.0955e-02, 3.5384e-02, 3.7929e-02, 3.9157e-02,
        4.2247e-02, 4.4429e-02, 4.5904e-02, 4.9231e-02, 5.0205e-02, 5.1587e-02,
        5.2783e-02, 5.3646e-02, 5.5986e-02, 5.6053e-02, 5.7426e-02, 5.7215e-02,
        5.6442e-02, 5.1891e-02, 4.5888e-02, 3.8593e-02, 2.7501e-02, 1.2414e-02,
        0.0000e+00, 0.0000e+00, 3.4212e-03, 6.9799e-03, 1.0440e-02, 1.3541e-02,
        1.6542e-02, 2.0045e-02, 2.3565e-02, 2.7557e-02, 3.3363e-02, 3.3991e-02,
        3.4341e-02, 3.5493e-02, 3.7744e-02, 4.0299e-02, 4.4121e-02, 5.4638e-02,
        5.1109e-02, 3.8386e-02, 3.6288e-02, 3.5268e-02, 3.4866e-02, 3.5032e-02,
        3.5842e-02, 3.7293e-02, 6.2929e-02, 5.1724e-02, 4.4956e-02, 3.9809e-02,
        3.4712e-02, 2.5705e-02])"
2ac51b21-34fb-4b3e-8ab4-2442b5f175be	Cylinder	"tensor([2.4246e-03, 5.0393e-02, 7.4145e-02, 9.3615e-02, 9.1958e-02, 9.3573e-02,
        8.1216e-02, 6.4765e-02, 4.9820e-02, 3.9693e-02, 3.3386e-02, 2.9495e-02,
        2.6773e-02, 2.5483e-02, 2.4549e-02, 2.4323e-02, 2.4165e-02, 2.4102e-02,
        2.4130e-02, 2.3654e-02, 2.3016e-02, 2.2445e-02, 1.8272e-02, 1.4182e-02,
        1.0230e-02, 6.4440e-03, 2.5336e-03, 9.3614e-04, 1.8801e-04, 6.2018e-05,
        2.8724e-05, 0.0000e+00, 1.0238e-03, 2.1279e-02, 3.1308e-02, 3.9529e-02,
        3.8830e-02, 3.9512e-02, 3.4294e-02, 2.7347e-02, 2.1037e-02, 1.6760e-02,
        1.4098e-02, 1.2454e-02, 1.1305e-02, 1.0760e-02, 1.0366e-02, 1.0271e-02,
        1.0204e-02, 1.0177e-02, 1.0189e-02, 9.9881e-03, 9.7188e-03, 9.4773e-03,
        7.7153e-03, 5.9883e-03, 4.3198e-03, 2.7210e-03, 1.0698e-03, 3.9529e-04,
        7.9389e-05, 2.6187e-05, 1.2129e-05, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 8.7380e-03, 3.7876e-02, 4.3227e-02, 4.6178e-02, 4.7523e-02,
        5.0891e-02, 5.3148e-02, 5.4211e-02, 5.7025e-02, 5.6109e-02, 5.5472e-02,
        5.4250e-02, 5.1834e-02, 4.9974e-02, 4.3758e-02, 3.8802e-02, 3.3940e-02,
        3.1596e-02, 3.1113e-02, 3.2899e-02, 3.6091e-02, 4.1957e-02, 4.3389e-02,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 5.7670e-03,
        1.1985e-02, 1.3156e-02, 1.5497e-02, 1.8783e-02, 2.3618e-02, 3.0795e-02,
        3.9904e-02, 4.8579e-02, 6.5191e-02, 6.7449e-02, 8.2743e-02, 7.6459e-02,
        7.0731e-02, 7.1101e-02, 7.4942e-02, 8.1500e-02, 6.6640e-02, 5.2126e-02,
        4.6107e-02, 3.6929e-02])"
1e33e197-c227-4e26-add0-bd75bd279aee	Cube	"tensor([7.4220e-05, 1.4361e-02, 5.3495e-02, 6.3036e-02, 6.3165e-02, 6.3618e-02,
        6.8580e-02, 6.8703e-02, 6.7098e-02, 6.6388e-02, 6.4874e-02, 5.7809e-02,
        5.1602e-02, 4.6893e-02, 4.4325e-02, 4.2588e-02, 3.6321e-02, 2.8391e-02,
        2.3088e-02, 2.0301e-02, 1.6512e-02, 1.2076e-02, 9.0182e-03, 6.8373e-03,
        5.1122e-03, 3.7605e-03, 1.4094e-03, 4.4082e-04, 1.2145e-04, 7.4970e-07,
        0.0000e+00, 0.0000e+00, 2.7290e-05, 5.2804e-03, 1.9669e-02, 2.3177e-02,
        2.3225e-02, 2.3392e-02, 2.5216e-02, 2.5261e-02, 2.4671e-02, 2.4410e-02,
        2.3853e-02, 2.1256e-02, 1.8973e-02, 1.7242e-02, 1.6298e-02, 1.5659e-02,
        1.3355e-02, 1.0439e-02, 8.4891e-03, 7.4645e-03, 6.0713e-03, 4.4403e-03,
        3.3159e-03, 2.5140e-03, 1.8797e-03, 1.3827e-03, 5.1823e-04, 1.6209e-04,
        4.4656e-05, 2.7566e-07, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 7.9848e-03, 3.4723e-02, 4.0023e-02, 4.3258e-02, 4.4814e-02,
        4.8170e-02, 5.0265e-02, 5.1498e-02, 5.4845e-02, 5.5303e-02, 5.6017e-02,
        5.6201e-02, 5.5593e-02, 5.6041e-02, 5.3428e-02, 5.1423e-02, 4.6809e-02,
        4.2412e-02, 3.8902e-02, 3.5071e-02, 3.1479e-02, 2.5018e-02, 2.0722e-02,
        3.6810e-04, 1.4214e-03, 2.3353e-03, 2.9861e-03, 3.5753e-03, 4.3145e-03,
        4.9810e-03, 5.7794e-03, 8.9552e-03, 1.3447e-02, 1.5613e-02, 2.1800e-02,
        2.9040e-02, 3.1454e-02, 3.4439e-02, 3.8794e-02, 4.2039e-02, 4.4040e-02,
        4.8561e-02, 5.7276e-02, 6.9238e-02, 6.2991e-02, 5.6182e-02, 5.4961e-02,
        5.3976e-02, 5.3783e-02, 5.2535e-02, 5.5869e-02, 5.3643e-02, 4.8965e-02,
        2.5027e-02, 1.6096e-03])"
1e01d797-e90c-4e1e-8e4c-f86a3251646d	Torus	"tensor([1.1314e-03, 1.6617e-02, 5.0012e-02, 6.3929e-02, 6.5055e-02, 6.5113e-02,
        6.2625e-02, 6.0997e-02, 6.6567e-02, 6.7658e-02, 6.2663e-02, 5.3653e-02,
        4.5438e-02, 4.0585e-02, 3.7792e-02, 3.5589e-02, 3.3759e-02, 3.2033e-02,
        3.1692e-02, 2.6435e-02, 2.1423e-02, 1.7522e-02, 1.4082e-02, 1.1025e-02,
        8.0364e-03, 4.9585e-03, 2.1235e-03, 9.3430e-04, 4.6394e-04, 8.6187e-05,
        3.6675e-06, 0.0000e+00, 3.4016e-04, 4.9960e-03, 1.5036e-02, 1.9220e-02,
        1.9559e-02, 1.9576e-02, 1.8828e-02, 1.8339e-02, 2.0013e-02, 2.0341e-02,
        1.8839e-02, 1.6131e-02, 1.3661e-02, 1.2202e-02, 1.1362e-02, 1.0700e-02,
        1.0149e-02, 9.6306e-03, 9.5280e-03, 7.9474e-03, 6.4407e-03, 5.2678e-03,
        4.2338e-03, 3.3145e-03, 2.4161e-03, 1.4907e-03, 6.3842e-04, 2.8089e-04,
        1.3948e-04, 2.5912e-05, 1.1026e-06, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 7.2154e-03, 3.1312e-02, 3.5972e-02, 3.8759e-02, 4.0183e-02,
        4.3680e-02, 4.5969e-02, 4.7102e-02, 5.0380e-02, 5.0843e-02, 5.2078e-02,
        5.2807e-02, 5.2708e-02, 5.4323e-02, 5.2323e-02, 5.1761e-02, 4.9646e-02,
        4.8108e-02, 4.6068e-02, 4.1934e-02, 3.8873e-02, 3.5830e-02, 3.2124e-02,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 4.3992e-03,
        7.3799e-03, 9.1083e-03, 1.0734e-02, 1.2925e-02, 1.6021e-02, 1.9414e-02,
        2.3813e-02, 2.7890e-02, 3.3683e-02, 4.3089e-02, 4.7778e-02, 4.5749e-02,
        4.7587e-02, 5.1302e-02, 5.9529e-02, 6.1045e-02, 5.8220e-02, 5.8668e-02,
        5.5678e-02, 5.4893e-02, 5.8405e-02, 6.0113e-02, 5.8346e-02, 4.2326e-02,
        1.7210e-02, 1.4695e-02])"
a6945d7b-9f27-494f-8ccf-fc5a35207816	Torus	"tensor([6.4444e-04, 9.2231e-03, 2.2572e-02, 4.4116e-02, 4.7882e-02, 5.2034e-02,
        5.4614e-02, 5.3668e-02, 5.5042e-02, 6.1548e-02, 7.5132e-02, 7.8943e-02,
        7.1875e-02, 6.3027e-02, 5.5845e-02, 4.9480e-02, 4.3550e-02, 3.9948e-02,
        3.1414e-02, 2.4044e-02, 1.9202e-02, 1.5249e-02, 1.1829e-02, 8.5277e-03,
        5.6490e-03, 3.3555e-03, 1.1983e-03, 3.4981e-04, 3.6439e-05, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 1.7063e-04, 2.4420e-03, 5.9765e-03, 1.1681e-02,
        1.2678e-02, 1.3777e-02, 1.4460e-02, 1.4210e-02, 1.4574e-02, 1.6296e-02,
        1.9893e-02, 2.0902e-02, 1.9030e-02, 1.6688e-02, 1.4786e-02, 1.3101e-02,
        1.1531e-02, 1.0577e-02, 8.3176e-03, 6.3663e-03, 5.0842e-03, 4.0375e-03,
        3.1320e-03, 2.2579e-03, 1.4957e-03, 8.8844e-04, 3.1728e-04, 9.2620e-05,
        9.6479e-06, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 6.8656e-03, 2.9829e-02, 3.4335e-02, 3.7085e-02, 3.8546e-02,
        4.2034e-02, 4.4594e-02, 4.6410e-02, 5.0063e-02, 5.1040e-02, 5.2515e-02,
        5.3708e-02, 5.4192e-02, 5.6163e-02, 5.5343e-02, 5.5095e-02, 5.3407e-02,
        5.2226e-02, 5.0484e-02, 4.7073e-02, 3.9753e-02, 2.8710e-02, 2.0529e-02,
        0.0000e+00, 0.0000e+00, 1.0484e-03, 4.2987e-03, 5.6251e-03, 7.0868e-03,
        1.1611e-02, 1.5796e-02, 2.1053e-02, 2.7890e-02, 3.7917e-02, 4.2482e-02,
        5.1611e-02, 4.4191e-02, 4.0429e-02, 3.9299e-02, 3.9802e-02, 4.1433e-02,
        4.4333e-02, 4.8059e-02, 5.3677e-02, 6.3919e-02, 5.5879e-02, 4.9032e-02,
        4.8799e-02, 4.6651e-02, 4.5422e-02, 4.4976e-02, 3.8080e-02, 1.1403e-02,
        1.0066e-02, 8.1310e-03])"
c4786f50-27f3-4874-b876-52aee5822d50	Cone	"tensor([6.2074e-05, 1.2921e-03, 4.5853e-03, 4.3565e-02, 5.8672e-02, 5.3072e-02,
        4.8799e-02, 4.7046e-02, 4.7335e-02, 5.0128e-02, 5.5018e-02, 6.4486e-02,
        8.5446e-02, 9.4523e-02, 7.9682e-02, 6.5417e-02, 4.6948e-02, 3.2878e-02,
        2.5269e-02, 2.0669e-02, 1.8021e-02, 1.5437e-02, 1.3217e-02, 1.0984e-02,
        8.5891e-03, 4.7062e-03, 2.7999e-03, 1.0504e-03, 2.3360e-04, 6.2074e-05,
        8.1677e-06, 0.0000e+00, 1.0475e-05, 2.1804e-04, 7.7376e-04, 7.3514e-03,
        9.9007e-03, 8.9558e-03, 8.2346e-03, 7.9389e-03, 7.9877e-03, 8.4590e-03,
        9.2841e-03, 1.0882e-02, 1.4419e-02, 1.5951e-02, 1.3446e-02, 1.1039e-02,
        7.9223e-03, 5.5481e-03, 4.2641e-03, 3.4879e-03, 3.0410e-03, 2.6049e-03,
        2.2303e-03, 1.8535e-03, 1.4494e-03, 7.9416e-04, 4.7247e-04, 1.7725e-04,
        3.9419e-05, 1.0475e-05, 1.3783e-06, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 6.0725e-03, 2.6418e-02, 3.0462e-02, 3.2972e-02, 3.4386e-02,
        3.7534e-02, 3.9987e-02, 4.1807e-02, 4.5709e-02, 4.7276e-02, 4.8700e-02,
        4.9761e-02, 5.0679e-02, 5.3487e-02, 5.3650e-02, 5.5338e-02, 5.5666e-02,
        5.6404e-02, 5.6590e-02, 5.5555e-02, 5.3673e-02, 4.6916e-02, 2.0957e-02,
        8.4291e-04, 3.0335e-03, 5.0934e-03, 8.2036e-03, 1.2524e-02, 2.6338e-02,
        3.5410e-02, 4.6451e-02, 4.3219e-02, 3.6670e-02, 3.4559e-02, 3.3692e-02,
        3.3323e-02, 3.3180e-02, 3.3357e-02, 3.3958e-02, 3.4556e-02, 3.6054e-02,
        3.7624e-02, 4.0732e-02, 4.9625e-02, 4.7418e-02, 4.2784e-02, 4.1015e-02,
        5.2528e-02, 6.9865e-02, 7.3140e-02, 3.6702e-02, 8.0092e-03, 5.2698e-03,
        3.3357e-03, 1.4882e-03])"
058f4844-b599-413f-88c9-c987af1b2f3e	Cone	"tensor([2.5941e-03, 9.8148e-02, 1.5715e-01, 1.5455e-01, 8.9960e-02, 5.6548e-02,
        4.2534e-02, 3.5784e-02, 3.2524e-02, 2.9942e-02, 2.5762e-02, 2.2653e-02,
        2.1220e-02, 2.0601e-02, 2.0041e-02, 1.9762e-02, 1.9640e-02, 2.0015e-02,
        2.0417e-02, 2.0781e-02, 2.1606e-02, 2.1649e-02, 1.9016e-02, 1.5407e-02,
        7.8737e-03, 2.9715e-03, 8.0203e-04, 4.7235e-05, 3.3739e-06, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 1.4836e-03, 5.6132e-02, 8.9875e-02, 8.8389e-02,
        5.1449e-02, 3.2340e-02, 2.4326e-02, 2.0465e-02, 1.8601e-02, 1.7125e-02,
        1.4734e-02, 1.2956e-02, 1.2136e-02, 1.1782e-02, 1.1461e-02, 1.1302e-02,
        1.1233e-02, 1.1447e-02, 1.1677e-02, 1.1885e-02, 1.2357e-02, 1.2382e-02,
        1.0875e-02, 8.8113e-03, 4.5031e-03, 1.6994e-03, 4.5869e-04, 2.7014e-05,
        1.9296e-06, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 1.1792e-02, 5.1057e-02, 5.7854e-02, 6.0543e-02, 6.0804e-02,
        6.3302e-02, 6.3711e-02, 6.2103e-02, 6.0503e-02, 5.3761e-02, 4.8704e-02,
        4.4876e-02, 4.1090e-02, 3.9058e-02, 3.3905e-02, 2.8668e-02, 2.2755e-02,
        1.8540e-02, 2.1183e-02, 2.8385e-02, 3.4406e-02, 4.0757e-02, 5.2244e-02,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 2.8717e-03,
        4.4184e-03, 4.2511e-03, 5.3983e-03, 6.3372e-03, 1.2686e-02, 3.2810e-02,
        4.4223e-02, 4.8979e-02, 4.0658e-02, 3.9040e-02, 3.6792e-02, 3.5334e-02,
        3.7836e-02, 4.6271e-02, 6.6878e-02, 1.3787e-01, 1.3327e-01, 1.0500e-01,
        1.0058e-01, 5.8500e-02])"
b0c1fa57-83de-4b11-8b19-c62c20b8c086	Cone	"tensor([3.0592e-03, 4.6007e-02, 5.1333e-02, 5.7891e-02, 5.2973e-02, 4.8148e-02,
        4.3853e-02, 4.1496e-02, 4.1285e-02, 4.3011e-02, 4.6609e-02, 5.3070e-02,
        6.6467e-02, 7.4963e-02, 7.5264e-02, 5.4384e-02, 3.7314e-02, 2.7762e-02,
        2.2336e-02, 1.9171e-02, 1.7167e-02, 1.5912e-02, 1.4813e-02, 1.4041e-02,
        1.2320e-02, 9.6491e-03, 5.9393e-03, 2.6468e-03, 8.5259e-04, 2.3329e-04,
        3.1266e-05, 0.0000e+00, 7.0127e-04, 1.0546e-02, 1.1767e-02, 1.3270e-02,
        1.2143e-02, 1.1037e-02, 1.0052e-02, 9.5120e-03, 9.4638e-03, 9.8594e-03,
        1.0684e-02, 1.2165e-02, 1.5236e-02, 1.7184e-02, 1.7253e-02, 1.2467e-02,
        8.5536e-03, 6.3638e-03, 5.1200e-03, 4.3945e-03, 3.9353e-03, 3.6475e-03,
        3.3955e-03, 3.2185e-03, 2.8241e-03, 2.2119e-03, 1.3615e-03, 6.0672e-04,
        1.9544e-04, 5.3477e-05, 7.1670e-06, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 6.5505e-03, 2.8410e-02, 3.2517e-02, 3.4887e-02, 3.6090e-02,
        3.8982e-02, 4.1050e-02, 4.2454e-02, 4.5608e-02, 4.6270e-02, 4.7390e-02,
        4.8387e-02, 4.8907e-02, 5.1196e-02, 5.1402e-02, 5.3369e-02, 5.4733e-02,
        5.5841e-02, 5.5965e-02, 5.5153e-02, 5.3785e-02, 4.8104e-02, 2.2952e-02,
        0.0000e+00, 0.0000e+00, 2.8909e-03, 6.6019e-03, 2.1352e-02, 2.0484e-02,
        2.2700e-02, 2.8786e-02, 2.8536e-02, 2.4556e-02, 2.3727e-02, 2.3171e-02,
        2.2908e-02, 2.3147e-02, 2.3293e-02, 2.3503e-02, 2.3888e-02, 2.4336e-02,
        2.5035e-02, 2.5646e-02, 2.6796e-02, 3.8032e-02, 4.6284e-02, 5.2833e-02,
        6.3792e-02, 6.3124e-02, 6.7230e-02, 6.6500e-02, 5.2004e-02, 4.6373e-02,
        4.4061e-02, 3.8409e-02])"
8f02fae4-277a-4927-b7d8-1c76e4a439c5	Cylinder	"tensor([1.6167e-04, 4.3662e-03, 2.1344e-02, 3.3330e-02, 4.3152e-02, 5.9545e-02,
        5.9769e-02, 5.7942e-02, 6.0589e-02, 6.7527e-02, 7.5720e-02, 7.8664e-02,
        7.1792e-02, 6.6591e-02, 5.9918e-02, 5.4804e-02, 5.2312e-02, 4.1496e-02,
        2.9974e-02, 2.1318e-02, 1.4473e-02, 9.5463e-03, 6.3174e-03, 4.3212e-03,
        2.6439e-03, 1.4180e-03, 6.0289e-04, 3.3793e-04, 2.5822e-05, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 3.9694e-05, 1.0720e-03, 5.2405e-03, 8.1836e-03,
        1.0595e-02, 1.4620e-02, 1.4675e-02, 1.4227e-02, 1.4877e-02, 1.6580e-02,
        1.8592e-02, 1.9314e-02, 1.7627e-02, 1.6350e-02, 1.4712e-02, 1.3456e-02,
        1.2844e-02, 1.0188e-02, 7.3594e-03, 5.2341e-03, 3.5535e-03, 2.3439e-03,
        1.5511e-03, 1.0610e-03, 6.4917e-04, 3.4815e-04, 1.4803e-04, 8.2972e-05,
        6.3401e-06, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 6.6905e-03, 2.9089e-02, 3.3508e-02, 3.6226e-02, 3.7722e-02,
        4.1122e-02, 4.3669e-02, 4.5293e-02, 4.8989e-02, 5.0202e-02, 5.1996e-02,
        5.3317e-02, 5.3870e-02, 5.5819e-02, 5.4042e-02, 5.4516e-02, 5.3312e-02,
        5.2337e-02, 5.0538e-02, 4.7093e-02, 4.1849e-02, 3.1887e-02, 2.6912e-02,
        0.0000e+00, 1.2642e-03, 4.3336e-03, 6.0390e-03, 8.1294e-03, 1.0979e-02,
        1.2763e-02, 1.4588e-02, 1.8207e-02, 2.3953e-02, 3.6078e-02, 5.0574e-02,
        4.2276e-02, 4.3216e-02, 4.6962e-02, 4.3663e-02, 4.3491e-02, 4.3675e-02,
        4.4525e-02, 4.5480e-02, 4.7055e-02, 5.7483e-02, 6.4029e-02, 6.7708e-02,
        5.3318e-02, 4.2364e-02, 3.6648e-02, 3.3542e-02, 3.1247e-02, 1.6298e-02,
        6.7440e-03, 3.3692e-03])"
